Exchange,Token,Ltp,Change,Exchange Timestamp,Volume
1,1330,1840.35,4294966211,2020-09-02 14:38:42,2725963
1,1330,1840.55,4294966231,2020-09-02 14:38:44,2726427
1,1330,1840.35,4294966211,2020-09-02 14:38:45,2726856
1,1330,1840.55,4294966231,2020-09-02 14:38:45,2726946
1,1330,1840.45,4294966221,2020-09-02 14:38:47,2727207
1,1330,1840.95,4294966271,2020-09-02 14:38:47,2727212
1,1330,1841.0,4294966276,2020-09-02 14:38:49,2727213
1,1330,1841.0,4294966276,2020-09-02 14:38:49,2727213
1,1330,1841.0,4294966276,2020-09-02 14:38:50,2727407
1,1330,1841.0,4294966276,2020-09-02 14:38:52,2727961
1,1330,1841.0,4294966276,2020-09-02 14:38:53,2728023
1,1330,1840.7,4294966246,2020-09-02 14:38:53,2728030
1,1330,1841.0,4294966276,2020-09-02 14:38:54,2728031
1,1330,1840.7,4294966246,2020-09-02 14:38:56,2728034
1,1330,1840.7,4294966246,2020-09-02 14:38:57,2728034
1,1330,1841.0,4294966276,2020-09-02 14:38:58,2728135
1,1330,1841.0,4294966276,2020-09-02 14:38:58,2728145
1,1330,1841.0,4294966276,2020-09-02 14:38:59,2728156
1,1330,1841.0,4294966276,2020-09-02 14:39:00,2728157
1,1330,1841.0,4294966276,2020-09-02 14:39:01,2728157
1,1330,1841.0,4294966276,2020-09-02 14:39:02,2728157
1,1330,1841.0,4294966276,2020-09-02 14:39:04,2728267
1,1330,1841.0,4294966276,2020-09-02 14:39:04,2728278
1,1330,1841.0,4294966276,2020-09-02 14:39:05,2728279
1,1330,1841.0,4294966276,2020-09-02 14:39:07,2728280
1,1330,1841.0,4294966276,2020-09-02 14:39:07,2728280
1,1330,1841.0,4294966276,2020-09-02 14:39:08,2728280
1,1330,1840.1,4294966186,2020-09-02 14:39:10,2729372
1,1330,1840.1,4294966186,2020-09-02 14:39:11,2729492
1,1330,1840.4,4294966216,2020-09-02 14:39:12,2729814
1,1330,1840.4,4294966216,2020-09-02 14:39:12,2729785
1,1330,1840.4,4294966216,2020-09-02 14:39:13,2729835
1,1330,1840.4,4294966216,2020-09-02 14:39:14,2730016
